DATETIME,EI2001C,EI2001A,EI2001B,RI2001,SI2001,EI2001D,EI2002C,EI2002A,EI2002B,RI2002,SI2002,EI2002D,EI2003,EI2004,EI2005,EI2006A,EI2006B,EI2006C,EI2006D,LI5001B,ZI5001,LI5001A,WD0_PAR_AI0041,SEKI_LVL,ZI5003,LI5002A,LI5002B,LI5002C,FI6001,FI1013,WD0_PAR_AI0013,LI5004A,LI5004B,LI6002A,LI6002B,PD0_PAR_AI0001,FI7002,LI7001A,LI7001B,LI7001C,NI1005,FI7004,LI7008A,LI7008B,LI7008,ZI1008A,ZI1008B,FI7007,LI7006,WI7003A,WI7003B,LI3005A,LI3005B,PLC31_PAR_AI0006,PLC31_PAR_AI0009,PLC31_PAR_AI0121,PLC31_PAR_AI0003,FI3005,TI1007,LI3006A,LI3006B,PLC31_PAR_AI0026,PLC31_PAR_AI0029,SI3007A,PLC31_PAR_AI0023,FI3007,SI3007B,PLC31_PAR_AI0046,PLC31_PAR_AI0049,PLC31_PAR_AI0123,PLC31_PAR_AI0043,FI3008,LI3001A,LI3001B,PLC31_PAR_AI0066,PLC31_PAR_AI0069,PLC31_PAR_AI0124,PLC31_PAR_AI0063,FI3002A,FI3002B,PLC31_PAR_AI0086,PLC31_PAR_AI0089,PLC31_PAR_AI0125,PLC31_PAR_AI0083,FI3003,PLC31_PAR_AI0106,PLC31_PAR_AI0109,PLC31_PAR_AI0126,PLC31_PAR_AI0103,FI3004,TI1002,NI1002B,YI1002,CI1002,AI1002,NI1003,YI1003,XI1003,AI1003,PD0_PAR_AI0032,NI1004,YI1004,XI1004,YI1001,XI1001,NI1006,YI1006,XI1006,YI1005,FI1009A,FI1009B,LI1009,FK0_PAR_AI0091,PLC01_PAR_AI0001,PLC01_PAR_AI0002,PLC01_PAR_AI0003,PLC01_PAR_AI0004,PLC01_PAR_AI0006,PLC01_PAR_AI0007,PLC01_PAR_AI0008,PLC01_PAR_AI0009,PLC01_PAR_AI0010,PLC01_PAR_AI0005,PD0_PAR_AI0042,NI1002,PLC31_PAR_AI0122,SI3008A,SI3008B,TI1014,NI1015A,NI1015B,NI1015C,NI1015D,CL0_U3.S06_PI02,UI1012,RI1012,DI1012,PI02,PI01,NI1020,YI1020
2023/11/10 00:00:00,6.34728765,6.54573011,70.92433929,99.70974731,60.02116013,3.76940918,1.1400001,0.05832254,0.99000472,100.12007141,54.20587158,4.18481445,2.3726089,4.82813597,0.36889994,-0.00103227,0.01700645,0.00716613,2.60900807,1.70360041,-0.00212892,108.41750336,1.32214105,1.70360041,35.03808212,3.96849704,3.95268488,0.01570383,1593.94152832,1296.92736816,1296.92736816,-0.75000012,-0.75000012,3.43608761,0.08986068,22.34490776,1239.34777832,0.49848911,0.12944354,0.28307974,23.3355217,1137.35827637,1.87758088,1.89900017,1.89899766,100.21226501,100.24320221,293.00064087,1.89700818,8.35080051,4.45659828,13.5827198,13.41690063,41.0876236,-0.10995781,41.07810974,30.9438343,44.60633469,15.39007187,3.99225783,6.22569227,-0.06038401,0.07000064,1.80198658,0,0.02000558,1.51999962,0.0104128,-0.00000064,0.012064,0,0.00993074,7.85477495,0.00484639,-0.03,-0.02000067,0,0,-0.00011281,0.07250921,15.63961411,0.03,15.66806412,1.35612297,15.69493961,1.24998415,-0.06992,1.24992013,0.13905619,0.94232076,16.23201752,3.98993301,7.4338069,88.82001495,26.20500565,0.52703339,7.12299395,0.00070082,23.19500351,7.53554344,0.0015,7.22596788,0.51809484,7.1969595,0.61779803,0.00154992,7.20401239,0.63287002,7.39603281,0.67342007,0.15595192,203.93099976,61.5850029,0.00000465,0,0,6.56921339,-3000.7331543,-4.00097752,-4.00097752,7.05250359,7.05641031,0.61782664,7.53554344,3.98983216,0.0700032,0.71998972,1.17167687,21.73927307,0.01503222,0.00839995,0.0097936,0.01016134,265594,,,,265594,7074,8.28386593,7.46831942
2023/11/10 00:05:00,6.44513512,6.52859211,70.37999725,99.71008301,60.04609299,3.5098877,1.14624012,0.05848816,0.99288094,100.12831879,54.20682907,4.18499756,2.34160018,4.93778467,0.35947758,-0.00036027,0.0178064,0.00776288,2.60799289,1.70633364,-0.00184507,111.40975952,1.36981916,1.70601547,29.72200012,3.97369981,3.95880008,0.01412794,1503.24230957,1210.78918457,912.50622559,-0.75000012,-0.75000012,3.43861985,0.08986385,20.65592766,1398.02429199,0.53741938,0.13434343,0.29778919,21.57473373,1042.01623535,1.88650024,1.90758002,1.90813065,100.22000122,100.2513504,289.28500366,1.75161707,8.35080051,4.45579386,13.58904457,13.40809345,39.30394745,-0.08000084,39.30394745,31.34522057,42.70532608,15.44001389,3.98714304,6.21690226,-0.05998388,0.052,1.80026829,0,0.01997441,1.51966417,0,-0.00001587,0,0,0.00811269,7.85476828,0.00503845,-0.02807946,-0.0720191,0,0,0.00102599,-0.00178322,14.6500349,0.07190667,14.72194195,1.34902573,14.90361309,1.12000322,0.00999987,1.13000309,0.11149904,1.02280295,16.22458649,4.03759956,7.45196772,88.82001495,26.20500183,0.5150013,7.12296677,0.00070077,23.09903336,7.38892031,0.00150192,7.23499203,0.55199999,7.18431854,0.59844595,0.00174968,7.20399857,0.63613194,7.38119459,0.67760891,0.13204035,203.92999268,61.51420593,0.0732554,0,0.07032968,6.5318675,-3000.7331543,-4.00097752,-4.00097752,7.05836344,7.064147,0.61780721,7.38892031,4.03727961,0.052,0.72160357,1.17160058,21.80632782,0.01516667,0.00836769,0.01020666,0.01072959,265594,,,,265594,7074,8.48655415,7.46433496
2023/11/10 00:10:00,6.47144222,6.52785063,71.17515564,99.70994568,59.97543335,4.04992676,1.14000976,0.05774548,1.06202304,100.12998962,54.2061615,4.18499756,2.42492175,4.8901968,0.36698321,-0.00100129,0.01780671,0.00779898,2.60180664,1.71438408,-0.00218308,119.15342712,1.50604427,1.71401536,25.92000389,3.98109603,3.96779561,0.01309601,1131.62683105,841.20019531,912.66131592,-0.75000012,-0.75000012,3.41819978,0.08980647,16.66322708,1468.82373047,0.55462861,0.13719955,0.29422545,19.34398842,1005.99841309,1.91399992,1.93500006,1.93582058,100.22000122,100.24968719,287.27944946,1.60791612,8.35080051,4.45676184,13.56600285,13.41656494,29.63047218,-0.13991411,29.63235474,31.36615562,32.17333984,15.39194107,3.99494195,6.21789932,-0.0599328,0.03000064,1.80833578,0,0.02077955,1.51225555,-0.01001597,-0.0300768,0,0,0.01534844,7.85365629,0.00483834,-0.00038781,-0.04968268,0,0,0.01388586,0.00672202,11.97008038,0.0296,11.99839783,1.45927942,11.99747562,1.18039691,0.00992,1.19158459,0.11185528,1.11454797,16.21838379,4.02006435,7.44220018,88.82001495,26.20500183,0.52700651,7.12363958,0.00078067,23.09900093,7.88556719,0.0015,7.23435211,0.55050397,7.17280006,0.60636002,0.0017496,7.20880079,0.63335794,7.37300062,0.6883797,0.15599187,203.92999268,61.54998779,0.03663004,0.00000002,0.03663004,6.54285812,-3000.7331543,-4.00097752,-4.00097752,7.04858065,7.04859591,0.61782664,7.88556719,4.02015448,0.0300032,0.71232057,1.16225612,21.59003448,0.0151598,0.008,0.01056133,0.0108,265594,,,,265594,7075,8.99935436,7.47315454
2023/11/10 00:15:00,8.50696754,6.52766275,69.15756989,99.70840454,60.02199936,22.45666504,1.14000022,0.05763567,1.00440025,100.12200165,54.2052002,4.18499756,2.41581321,7.1469717,0.35642013,-0.00100026,0.017,0.00703862,2.59958506,1.71288037,-0.00218254,118.52519989,1.48846602,1.71281624,28.28967857,3.97979999,3.96578336,0.01416774,1197.24731445,901.98706055,913.12072754,-0.75000012,-0.75000012,3.41011667,0.08932027,15.01480007,1401.28027344,0.54066938,0.1372,0.28005844,15.73712444,978.68731689,1.94201589,1.96259749,1.96336591,100.21167755,100.25000763,286.9704895,1.46402323,8.3509922,4.45536089,13.57244015,13.41690063,30.30034828,-0.11008652,30.30871582,30.42416573,32.86399841,15.44161606,3.98731661,6.21966791,-0.07999987,0.03040013,1.80993342,0,0.02348784,1.51038671,-0.01032,0.00966385,0.00159613,0,0.01135463,7.85319376,0.00461574,-0.0299968,-0.03959716,0,0,0.01455818,0.00681804,12.54863834,0.04999944,12.56588745,1.4493202,12.37908173,1.25999999,-0.0199968,1.25999999,0.1240919,1.13069236,16.22192764,3.97406387,7.44299269,88.87934113,24.1950016,0.53700006,7.1229682,0.00070067,23.40000153,6.80722475,0.0015096,7.23916769,0.53491688,7.05043364,0.61980677,0.00154846,7.19406271,0.63214803,7.36735487,0.67672002,0.14449151,203.93000793,61.55006409,0.01459435,0,0.03657191,6.53670359,-3000.7331543,-4.00097752,-4.00097752,7.05523872,7.06070852,0.61870575,6.80722475,3.97415352,0.04000308,0.72999996,1.16833556,21.70209122,0.01500026,0.0080064,0.01083866,0.01163718,265594,,,,265594,7075,9.23839951,7.46398544
2023/11/10 00:20:00,8.01062965,6.52586365,88.0658493,99.71134949,60.02196503,12.63818359,1.14000022,0.05759448,1.06200004,100.12993622,54.20586777,4.05541992,2.3916862,6.53410673,0.35467678,-0.00099995,0.017,0.00796672,2.60100818,1.71286416,-0.00212901,117.48018646,1.48522925,1.71281302,28.08032227,3.9793005,3.96599936,0.01332157,1226.34899902,937.28656006,914.9798584,-0.75000012,-0.75000012,3.41272235,0.08987936,13.49545956,1346.33544922,0.52631795,0.13616353,0.27625066,12.89031696,886.41662598,1.95349944,1.9744004,1.97448981,100.22167206,100.24808502,285.14892578,1.31300008,8.35080242,4.45484114,13.56774712,13.40890408,31.09103966,-0.10841309,31.09519958,30.42655182,33.80583191,15.44032669,3.99209213,6.2217598,-0.0304,0.0599968,1.80966401,0,0.02063999,1.51800263,0.01968317,0.03999665,0.0583991,0,0.01197423,7.85717821,0.00479232,-0.022016,-0.06999987,0,0,-0.00839223,0.04712122,12.88843346,0.01998733,12.9020977,1.45057356,12.88414478,1.03999996,0.03,1.06999993,0.10958013,1.03864408,16.22000313,3.96837115,7.44604015,88.86003113,24.1950016,0.52816778,7.12219858,0.0011,23.40000153,6.02608871,0.0015,7.23080015,0.55168384,7.0477891,0.63157755,0.00150008,7.20799494,0.63211495,7.35915995,0.6721105,0.13224234,203.92999268,61.54998779,0.07324836,0,0,6.54723454,-3000.7331543,-4.00097752,-4.00097752,7.09156036,7.09549809,0.61732686,6.02608871,3.96862459,0.05998401,0.72161537,1.17168975,21.96147346,0.01595974,0.00819333,0.01043969,0.01336768,265594,,,,265594,7075,9.70319557,7.48885918
2023/11/10 00:25:00,6.48048115,6.52914715,68.60996246,99.71166992,59.92100906,-25.64990234,1.1400001,0.057623,0.99000013,100.11872864,54.20679092,4.18499756,2.39618826,4.81262493,0.36650801,-0.00119201,2.61600018,0.008,2.59883261,1.7128675,-0.0021289,117.92903137,1.48491681,1.71281374,28.08038712,3.98040009,3.96600032,0.01357936,1200.70935059,911.88989258,916.33184814,-0.75000012,-0.75000012,3.41258693,0.08951586,11.98568153,1321.44055176,0.51724428,0.13579831,0.27677792,10.70031452,962.49987793,1.96899986,1.98990273,1.98968017,100.21967316,100.24169159,283.80163574,1.17050016,8.35100174,4.45652962,13.56633854,13.40680504,30.23241615,-0.11047792,30.24206352,30.2504425,32.87701416,15.54833984,3.99573922,6.22565889,-0.02000369,0.0200032,1.79808033,0,0.02373756,1.51033556,-0.02048,-0.02031949,0,0,0.00928521,7.85496807,0.00479263,-0.00999987,-0.06919947,0,0,0.02470041,0.10380626,12.66008091,0.04959987,12.70840263,1.46060002,12.62743187,1.03040004,0.022,1.06199992,0.11080979,1.02916861,16.21918869,3.91448069,7.45120001,88.84719849,24.89499664,0.51319999,7.1235199,0.0011,23.30400085,5.50475883,0.0015,7.23599195,0.55839878,7.17199993,0.64236647,0.00150968,7.21283865,0.64134967,7.35484028,0.68618745,0.1370323,203.92399597,61.49124527,0.00058373,0,0,6.53628206,-3000.7331543,-4.00097752,-4.00097752,7.1267395,7.13260126,0.62124544,5.50475883,3.91492867,0.020016,0.72031999,1.16974449,21.92978096,0.0162,0.00800031,0.01019973,0.0143342,265594,,,,265594,7076,9.69987011,7.47520018
2023/11/10 00:30:00,5.10217857,6.52005672,43.14506149,99.71000671,60.02116776,-40.76989746,1.14000976,0.058494,0.99000013,100.12846375,54.20596695,4.18499756,2.40722585,2.37113523,0.36348078,-0.00100026,2.61292052,0.00799872,2.59573507,1.70879924,-0.00177701,113.66983032,1.41178107,1.70879984,33.70838928,3.97439933,3.95809937,0.01549632,1112.36730957,1104.7364502,1199.88964844,-0.75000012,-0.75000012,3.40437603,0.08903211,7.55883217,1280.06652832,0.50400025,0.13509774,0.27227157,9.99977589,934.01306152,1.98541951,2.00700092,2.00703883,100.21362305,100.2483902,0.07007988,1.16748416,8.3509922,4.45575237,13.56464386,13.41522026,27.11991692,-0.10039011,27.11957169,29.317276,29.47128868,15.6400032,3.9922564,6.23735714,-0.04000051,0.02001536,1.80800056,0,0.02480537,1.51039958,0.01000002,-0.03038346,0.01000012,0,0.01442663,7.84800005,0.00480031,-0.01001587,-0.06960011,0,0,0.00602734,0.02720911,11.57238483,0.00001921,11.5820179,1.43861651,11.23161888,0.9883998,0.02999998,1.01199973,0.10900569,0.98273957,16.23306274,3.92839742,7.44218731,88.86386871,24.89499855,0.51596677,7.1229744,0.00148064,23.29999924,3.91044378,0.00150002,7.22599936,0.5587793,7.16582966,0.6485675,0.00175154,7.21283865,0.64021873,7.34987402,0.68437606,0.13104193,203.92500305,61.47110367,0.03633702,0,0.036337,6.50989008,-3000.7331543,-4.00097752,-4.00097752,7.16192007,7.16774988,0.62025684,3.91044378,3.92870808,0.02007677,0.72166401,1.17033303,21.85322952,0.0164,0.00816,0.00996134,0.01495975,265594,,,,265594,7076,9.8799963,7.46861458
2023/11/10 00:35:00,4.39711189,6.51532507,46.301754,99.71832275,60.02183151,-9.18884277,1.14000058,0.0590458,0.99011987,100.12168121,54.20600128,4.18493652,2.3164804,2.71254039,0.35749918,-0.00180773,2.61119223,0.00783994,0.0019936,1.70544016,-0.00184462,109.69152832,1.3389883,1.70524788,33.90800095,3.97132277,3.95508528,0.01550425,1242.86132813,1237.40429688,1199.88000488,-0.75000012,-0.75000012,3.41160035,0.08893165,8.60552883,1244.35534668,0.49589157,0.13369823,0.2726616,9.92415714,1140.7331543,1.99441969,2.01581931,2.01514173,100.21648407,100.24838257,0.12000001,1.17997932,8.35080814,4.45656776,13.57270622,13.40710258,31.05798721,-0.0794966,31.04966545,29.97850227,33.77611923,15.69168091,3.99494195,6.23718405,-0.05999949,0.01016001,1.79872215,0,0.02464125,1.51007688,-0.00200003,0.01296,0.0439999,0,0.00877337,7.84723282,0.00403201,0.02999872,-0.06998324,0.02996798,0,-0.01556728,0.00157309,13.06841469,0.04807732,13.11226845,1.45462441,13.17371941,1.08999991,-0.01,1.08999729,0.12079379,0.97652048,16.22218704,3.98839951,7.45200062,88.86000061,25.20000076,0.51483864,7.12784052,0.0008025,22.99916267,3.97402811,0.0015,7.22099876,0.53638411,7.18991327,0.65043837,0.00154838,7.21236038,0.63182396,7.35499954,0.68423516,0.15120925,203.92999268,61.54983521,0.10977288,0,0.03663002,6.52527857,-3000.7331543,-4.00097752,-4.00097752,7.21269894,7.21660519,0.62163615,3.97402811,3.98871756,0.01400013,0.7216773,1.17006457,21.70614815,0.0162,0.00839871,0.010168,0.015,265594,,,,265594,7076,9.91597462,7.47616053
2023/11/10 00:40:00,4.79043961,6.49259472,43.35119629,99.71640015,60.02183914,17.55029297,1.1400001,0.05849401,0.99002403,100.12833405,54.2060318,4.18499756,2.39647651,2.41305614,0.36338401,-0.00102566,0.017,0.00780154,0.00283201,1.70600045,-0.00177419,110.58123779,1.36872768,1.70599997,33.29877853,3.97200012,3.95572352,0.01533585,1189.83813477,1183.05090332,1199.88195801,-0.75000012,-0.75000012,3.41150236,0.08948068,8.28322601,1261.21350098,0.49839935,0.13398048,0.27757463,9.93990135,1132.06774902,1.99199998,2.01217723,2.0125494,100.22167969,100.24832916,0.12000001,1.18951607,8.35080051,4.45563841,13.55962944,13.41690063,29.64931297,-0.10415988,29.66917419,29.94452477,32.24979782,15.64161301,3.99208188,6.22175884,-0.03960012,0.04,1.80998468,0,0.02773142,1.51001573,-0,-0.01,0,0,0.00931094,7.85473633,0.00483872,-0.01000001,-0.0600928,0,0,-0.02940869,0.02839156,12.50193977,0.04823948,12.5484066,1.45519304,12.444067,0.93007666,0.01,0.94000292,0.10292511,0.90160167,16.2208004,4.00957251,7.44296885,88.86013031,25.19980621,0.50600004,7.12716818,0.00141677,22.99583244,3.98683381,0.0015,7.22100163,0.56210023,7.15349722,0.65460026,0.0015096,7.21780157,0.63684011,7.35819435,0.68306345,0.17879814,203.94799805,61.5862236,0.02186128,0,0.00000047,6.50769567,-3000.7331543,-4.00097752,-4.00097752,7.29005861,7.29396534,0.61821973,3.98683381,4.00919104,0.04,0.72001278,1.17932868,22.18748856,0.01596774,0.0086,0.01020671,0.01480768,265594,,,,265594,7077,9.48399448,7.46456909
2023/11/10 00:45:00,4.79297113,6.50883007,43.74178314,99.71000671,60.02199554,17.82006836,1.1400001,0.05849995,0.99000025,100.12161255,54.20600128,4.18499756,2.43165016,2.37733746,0.36580262,-0.001768,0.017,0.00696155,0.00203354,1.70534456,-0.0017776,110.55097198,1.34865475,1.705549,33.86000443,3.97089601,3.9552002,0.01546399,1217.19873047,1210.80053711,1199.89038086,-0.75000012,-0.75000012,3.41150427,0.08997925,8.44708347,1259.73059082,0.49820778,0.13370001,0.27834508,9.93676567,1164.6784668,1.98501623,2.00600028,2.00604939,100.22639465,100.24834442,0.07006452,1.19898403,8.35080051,4.45575428,13.5593586,13.40822792,30.41999626,-0.09333824,30.41984367,29.99787521,33.05921936,15.54968262,3.99491024,6.22076797,-0.04,0.02000003,1.80999994,0,0.01680021,1.51806724,-0.0000128,-0.04031936,0,0,0.00880929,7.8489604,0.00576037,-0.0020032,-0.06837182,0,0,0.00262984,0.00006729,12.82766151,0.01799939,12.82150459,1.45275569,12.78160191,0.7899968,0.04000003,0.82992059,0.09091424,0.81297135,16.22000313,4.02395582,7.43780661,88.79599762,25.19904137,0.53206402,7.12300062,0.00140323,22.99516106,4.00067186,0.00149808,7.22596788,0.57141626,7.15411043,0.65724051,0.0015,7.21700048,0.63569999,7.3550005,0.684246,0.14996353,203.91816711,61.49627686,0.00000047,0,0.00000047,6.5340662,-3000.7331543,-4.00097752,-4.00097752,7.36703348,7.37484407,0.622123,4.00067186,4.02391481,0.02000065,0.72033542,1.1716615,21.87261391,0.01579896,0.0086,0.01107733,0.01499872,265594,,,,265594,7077,8.0968008,7.46455717
