DATETIME,EI2001C,EI2001A,EI2001B,RI2001,SI2001,EI2001D,EI2002C,EI2002A,EI2002B,RI2002,SI2002,EI2002D,EI2003,EI2004,EI2005,EI2006A,EI2006B,EI2006C,EI2006D,LI5001B,ZI5001,LI5001A,WD0_PAR_AI0041,SEKI_LVL,ZI5003,LI5002A,LI5002B,LI5002C,FI6001,FI1013,WD0_PAR_AI0013,LI5004A,LI5004B,LI6002A,LI6002B,PD0_PAR_AI0001,FI7002,LI7001A,LI7001B,LI7001C,NI1005,FI7004,LI7008A,LI7008B,LI7008,ZI1008A,ZI1008B,FI7007,LI7006,WI7003A,WI7003B,LI3005A,LI3005B,PLC31_PAR_AI0006,PLC31_PAR_AI0009,PLC31_PAR_AI0121,PLC31_PAR_AI0003,FI3005,TI1007,LI3006A,LI3006B,PLC31_PAR_AI0026,PLC31_PAR_AI0029,SI3007A,PLC31_PAR_AI0023,FI3007,SI3007B,PLC31_PAR_AI0046,PLC31_PAR_AI0049,PLC31_PAR_AI0123,PLC31_PAR_AI0043,FI3008,LI3001A,LI3001B,PLC31_PAR_AI0066,PLC31_PAR_AI0069,PLC31_PAR_AI0124,PLC31_PAR_AI0063,FI3002A,FI3002B,PLC31_PAR_AI0086,PLC31_PAR_AI0089,PLC31_PAR_AI0125,PLC31_PAR_AI0083,FI3003,PLC31_PAR_AI0106,PLC31_PAR_AI0109,PLC31_PAR_AI0126,PLC31_PAR_AI0103,FI3004,TI1002,NI1002B,YI1002,CI1002,AI1002,NI1003,YI1003,XI1003,AI1003,PD0_PAR_AI0032,NI1004,YI1004,XI1004,YI1001,XI1001,NI1006,YI1006,XI1006,YI1005,FI1009A,FI1009B,LI1009,FK0_PAR_AI0091,PLC01_PAR_AI0001,PLC01_PAR_AI0002,PLC01_PAR_AI0003,PLC01_PAR_AI0004,PLC01_PAR_AI0006,PLC01_PAR_AI0007,PLC01_PAR_AI0008,PLC01_PAR_AI0009,PLC01_PAR_AI0010,PLC01_PAR_AI0005,PD0_PAR_AI0042,NI1002,PLC31_PAR_AI0122,SI3008A,SI3008B,TI1014,NI1015A,NI1015B,NI1015C,NI1015D,CL0_U3.S06_PI02,UI1012,RI1012,DI1012,PI02,PI01,NI1020,YI1020
2023/08/12 00:00:00,6.88287973,6.48630571,74.16151428,99.69960785,60.11600876,2.92651367,0.84000003,0.05687303,1.07714307,100.14006805,54.20619965,4.18499756,2.49201035,5.24837828,0.38990688,-0.00119206,2.60480809,0.00799999,0.0021616,1.73963404,0.000792,141.30343628,1.95157313,1.73960674,48.63000107,3.99829817,3.93777728,0.05807324,1995.53039551,1991.05883789,1999.92797852,-0.75000012,-0.75000012,3.40559578,3.43982315,9.20981407,1975.96166992,0.31124711,0.1560441,0.63764787,1.45030093,2160.99243164,2.20700049,2.22741628,2.22716713,100.25000763,100.20200348,0.12000001,1.22844017,1.602,4.4313693,14.88128853,10.77300072,-0.13803099,40.04200363,40.04200363,24.08331108,42.46098709,25.15000153,4.04559994,6.2691021,-0.05992256,0.0179968,1.83967972,0,0.03117439,1.59665644,0.0000832,-0.01992255,0.0000832,0,0.04399488,9.23179913,0.00959814,-0.00006719,-0.02839694,0,0,-0.0057576,0.04755653,14.4381752,0.0696032,14.50777817,1.00258529,14.81705189,2.52999997,0.01,2.53999996,0.17743626,2.45910549,23.47879028,2.87438655,7.40580034,73.03353882,23.30000114,0.5480004,7.0022006,0.00429997,19.30903435,2.85776734,0.00150002,7.2208004,0.52686751,7.17199993,0.72072136,0.0020904,7.25416756,0.63617957,7.45484066,1.52707505,0.16699937,211.92105103,95.59029388,0,0,0,6.45935488,-3000.7331543,-4.00097752,-4.00097752,7.50183201,7.49987841,0.48106903,2.85776734,2.87467623,0.0179968,0.69000006,1.22825861,23.46167183,0.02099872,0.01303222,0.0146338,0.009,265411,,,,265411,817,0,7.23052549
2023/08/12 00:05:00,5.16528702,6.49439859,53.79121017,99.69998932,59.91699982,-2.9699707,0.84000003,0.05698921,1.00788033,100.14000702,54.2061615,4.18499756,2.48593998,3.53035688,0.39203057,-0.00199871,2.60376143,0.007168,0.00216773,1.73703706,0.00044054,138.05535889,1.89677572,1.73748744,48.62166977,3.99659991,3.93839979,0.0561892,1993.92016602,1990.00720215,1999.88000488,-0.75000012,-0.75000012,3.40557957,3.44026375,9.31378365,1977.83752441,0.31152615,0.15633753,0.63647604,1.41166472,1893.62646484,2.20740008,2.22799611,2.2278688,100.24168396,100.20359802,0.12000001,1.23919678,1.602,4.43082428,14.88087177,10.76663017,-0.08160011,40.00003052,40.00077438,24.07672501,42.46284866,25.1000061,4.05105972,6.27093744,-0.07999987,0.0000033,1.83038712,0,0.02546586,1.581936,0.0199968,0.01039923,0.0399008,0,0.04333523,9.22892761,0.00840616,-0.02792015,-0.00959742,0.00006452,0,0.03218801,0.01267579,14.48232079,0.07793601,14.56639862,1.00739825,14.79842663,2.50759935,0.04,2.52998376,0.1765724,2.54719901,23.49877548,2.87369037,7.4048419,73.02371216,23.29999924,0.53216928,7.00376844,0.0039808,19.30900383,2.86719537,0.0015,7.23399401,0.51990396,7.12552643,0.71995991,0.002042,7.25419998,0.63569993,7.459167,1.53023207,0.15436807,211.92315674,95.59293365,0,0,0.03517656,6.47235203,-3000.7331543,-4.00097752,-4.00097752,7.53887177,7.53496504,0.48150429,2.86719537,2.87351871,0.00008253,0.69001287,1.22166455,23.41387558,0.02135334,0.01316102,0.01479995,0.0089664,265411,,,,265411,817,-0.20000002,7.23552084
2023/08/12 00:10:00,6.21394873,6.4763689,54.3686676,99.69834137,60.01699829,26.18994141,0.84000003,0.05670691,1.06848013,100.14039612,54.20697403,4.29736328,2.47586608,3.71021748,0.38699999,-0.00116133,0.01786453,0.00719201,0.00300101,1.7374928,0.00049631,140.4634552,1.90941715,1.73661876,48.62840271,3.99672031,3.93828416,0.05721762,1996.05786133,1987.49609375,1999.88000488,-0.75000012,-0.75000012,3.40461254,3.44030261,9.35366821,1965.58935547,0.31167188,0.1560888,0.63328439,1.3916775,1745.54980469,2.21798062,2.23799992,2.23764181,100.24995422,100.20201111,0.11024334,1.24900341,1.602,4.43043852,14.88278389,10.76466751,-0.12788711,40.03409958,40.05247879,24.10078239,42.47483826,25.10800171,4.05037212,6.27145147,-0.07991677,0.01991989,1.83961272,0,0.02064562,1.59646392,-0.0000832,-0.01006413,0,0,0.04397441,9.2244072,0.00859169,-0.04006387,-0.01008,0,0,0.0346498,0.0302828,14.48001385,0.06993332,14.54865742,1.00587642,14.7209816,2.49992013,-0.18999997,2.49799895,0.17523079,2.39249611,23.46298027,2.87800002,7.40516853,73.00735474,22.39116096,0.5250324,7.00297356,0.00416112,19.4051609,2.86706901,0.00150008,7.22419262,0.52172112,7.28805876,0.72739995,0.002052,7.25484037,0.6368522,7.45419979,1.52600324,0.19819,211.90534973,95.59408569,0,0,0,6.4615345,-3000.7331543,-4.00097752,-4.00097752,7.56435061,7.56043911,0.48156291,2.86706901,2.87800026,0.01799731,0.69005126,1.21329093,23.63962173,0.02123968,0.01263329,0.01440128,0.00882688,265411,,,,265411,817,0,7.21311474
2023/08/12 00:15:00,7.10706568,6.49349976,68.36515045,99.69839478,59.92630005,31.54504395,0.84000003,0.05687396,1.06271911,100.14807129,54.20619202,4.18585205,2.42476749,4.65153933,0.38342014,-0.00116005,0.01800026,0.00719329,0.00235458,1.73818052,0.0003696,140.44963074,1.9186033,1.737396,48.63000107,3.99681234,3.93671584,0.05808392,2000.46447754,1994.7388916,1999.92797852,-0.75000012,-0.75000012,3.40567636,3.43943644,9.38668537,1966.10266113,0.3145152,0.15580648,0.63903439,1.45999742,2173.60742188,2.22009993,2.24058056,2.24067688,100.24200439,100.21000671,0.11990721,1.25650012,1.602,4.43043852,14.87389755,10.75829983,-0.13169919,40.10354233,40.10871124,24.06345177,42.51818848,25.10031891,4.04564333,6.27011538,-0.08791616,0.019984,1.83998632,0,0.02154756,1.5899303,-0.019984,-0.02959987,0,0,0.04399997,9.22443867,0.00843846,0.02033537,0.00006656,0.02008039,0,0.01417981,0.03621259,14.52416706,0.06758068,14.58234978,1.00523293,14.64707756,2.42399955,0.04750323,2.42879939,0.17045335,2.39770222,23.47642899,2.86524367,7.40199375,73.01679993,22.39499855,0.51200026,6.99800062,0.00399987,19.40503311,2.85659242,0.00174,7.22403336,0.53017133,7.27171659,0.72399992,0.00209002,7.24596071,0.63990051,7.45916224,1.53872371,0.13920006,211.90879822,95.58876038,0,0,0.03663002,6.47032976,-3000.7331543,-4.00097752,-4.00097752,7.58974457,7.58779049,0.48254749,2.85659242,2.86470413,0.0199968,0.69800007,1.21386635,23.548069,0.02076795,0.0126,0.01444154,0.0088002,265411,,,,265411,817,0,7.22002697
2023/08/12 00:20:00,6.23142958,6.51999617,68.40576935,99.69998932,60.01699829,1.98596191,0.84000003,0.05756516,1.15200007,100.14838409,54.20684052,4.18499756,2.41596365,4.70060825,0.39240396,-0.00196768,0.01799974,0.00632801,2.60108042,1.73721814,0.00043989,138.72064209,1.89850807,1.7372036,48.62192535,3.99720097,3.93777633,0.05815265,1994.10681152,1990.81298828,1999.88000488,-0.75000012,-0.75000012,3.40619636,3.44020653,9.32871246,1962.4901123,0.31430045,0.15580648,0.63659877,1.47361612,2015.56445313,2.20616078,2.227,2.22664189,100.24326324,100.20327759,0.05999949,1.26942003,1.60296011,4.430408,14.88425541,10.75829983,-0.08000001,40.02950668,40.02950668,24.07543755,42.42880249,25.05000305,4.04975128,6.2699008,-0.0520993,0.04,1.83160567,0,0.02323299,1.59000206,-0.019904,0.03998397,0.03998397,0,0.04080021,9.22041321,0.00824639,-0.01998515,-0.00006413,0,0,0.04444624,0.04345793,14.4720335,0.0220032,14.49403667,1.00162077,14.7644949,2.47999978,-0.000016,2.47999978,0.17435916,2.36889291,23.47500038,2.8456018,7.40503263,73.01987457,21.99499893,0.5060001,7.00296736,0.0039968,19.40500069,2.84251499,0.00174008,7.22240782,0.52700001,7.1940074,0.71979994,0.00204002,7.24599886,0.63899988,7.45516157,1.52222574,0.168,211.91600037,95.59263611,0,0,0,6.47692633,-3000.7331543,-4.00097752,-4.00097752,7.61904764,7.61318779,0.48547012,2.84251499,2.84528923,0.04,0.68993354,1.22806692,23.11801147,0.020432,0.01286556,0.01482662,0.00883354,265411,,,,265411,817,0,7.22631979
2023/08/12 00:25:00,5.79915953,6.52316999,62.81972122,99.70000458,60.01683807,-0.984375,0.84000003,0.05670698,0.99290884,100.14000702,54.20684052,4.18499756,2.40016007,4.25785208,0.39232007,-0.00196646,0.01803328,0.00703355,2.5960319,1.73969281,0.00043718,141.11993408,1.95102322,1.7392987,48.62007141,3.9983995,3.93780017,0.05899645,1990.66931152,1985.6640625,1999.92993164,-0.75000012,-0.75000012,3.40590596,3.43960714,9.46641445,1963.18371582,0.31685004,0.15604398,0.6390295,1.36999679,2205.99926758,2.1920011,2.21359611,2.21350002,100.24193573,100.21007538,0.11960065,1.27650011,1.602,4.43040037,14.87677193,10.74813652,-0.08032434,39.95152283,39.94033432,24.08146477,42.34931946,25.05000305,4.05079794,6.2699008,-0.02048318,0.02959618,1.83801532,0,0.02320619,1.59024322,-0.01999987,-0.01999619,0,0,0.04666343,9.22520447,0.00939872,0.01007704,-0.03000064,0.01962944,0,0.05118857,0.02267677,14.47960091,0.08007742,14.55964565,1.00865352,14.72474098,2.53007984,0.02,2.55999994,0.17968556,2.43685555,23.46938896,2.8840673,7.40100002,73.02077484,21.99499702,0.50296134,6.99800062,0.00410867,19.4051609,2.878124,0.00150968,7.21936178,0.52361614,7.24995899,0.71515524,0.00210153,7.23699903,0.64325958,7.45900202,1.52666819,0.14376,211.90394592,95.59146118,0,0,0,6.47912073,-3000.7331543,-4.00097752,-4.00097752,7.64444494,7.64053679,0.48595846,2.878124,2.88416648,0.01952258,0.69000006,1.226735,23.40585327,0.02059483,0.01243355,0.01482561,0.00879227,265411,,,,265411,817,-0,7.22895956
2023/08/12 00:30:00,7.33544683,6.50505495,69.80225372,99.69039154,60.01699829,31.87304688,0.84000969,0.05670691,1.0074203,100.14160919,54.20780182,4.18927002,2.39887357,4.92291117,0.39009672,-0.00087866,0.01732903,0.00796134,0.0039984,1.73833644,0.00072158,139.43988037,1.91509843,1.73838747,48.62168121,3.9976995,3.93790102,0.05701995,1988.94958496,1984.7947998,1999.97595215,-0.75000012,-0.75000012,3.40562272,3.43992066,9.30768299,1962.8692627,0.31555611,0.15581723,0.63959175,1.32366133,2216.16357422,2.17708421,2.19898415,2.19913864,100.25000763,100.2196579,0.11999922,1.28977942,1.60200751,4.43040848,14.8809557,10.75488567,-0.10960316,39.92175674,39.92878342,24.09110069,42.32539368,25.00801849,4.05277824,6.27245855,-0.08000258,-0,1.83966708,0,0.02067094,1.58641541,0,0.03198401,0.03992002,0,0.0433344,9.21864223,0.00844608,0.00201858,-0.03040281,0.01009291,0,0.00744548,0.01739589,14.45000076,0.08799669,14.52998447,1.00729275,14.70168114,2.51999998,0.00992,2.52959991,0.17768951,2.42835927,23.48359489,2.84422374,7.40503883,73.02000427,21.990839,0.50112784,6.99383307,0.0043,19.30516815,2.83949018,0.0015,7.21616888,0.5273,7.1653657,0.71859866,0.00204048,7.24503374,0.63330966,7.44599962,1.52899814,0.15095614,211.92292786,95.59263611,0,0,0,6.47911739,-3000.7331543,-4.00097752,-4.00097752,7.66983891,7.66593504,0.48547244,2.83949018,2.84456825,0,0.68200004,1.22167468,23.05886078,0.02079334,0.0126336,0.01456133,0.00880511,265411,,,,265411,817,-0,7.24501848
2023/08/12 00:35:00,7.17031527,6.48077059,70.38725281,99.69839478,60.01699829,31.14709473,0.84000003,0.05687401,1.06548369,100.14032745,54.2069931,4.18499756,2.44658065,4.68983078,0.38099632,-0.00183231,0.0172,0.00799969,0.00380129,1.73720467,0.00042592,138.6966095,1.8978945,1.73720086,48.61001587,3.99729204,3.93710709,0.05805021,1999.00268555,1992.7520752,1999.88000488,-0.75000012,-0.75000012,3.40522814,3.44039607,9.48086834,1965.59936523,0.31624082,0.15603232,0.64017129,1.33001721,1952.07995605,2.1645,2.18640327,2.18600059,100.24994659,100.21135712,0.11807939,1.30545986,1.602,4.43059397,14.87564278,10.75788021,-0.0800057,40.00257874,40.01288986,24.02198982,42.41600037,24.96033478,4.04581785,6.26604986,-0.07161526,0.00000013,1.83033824,0,0.0200256,1.59774125,-0.03199939,0.01999616,0.0199808,0,0.04464021,9.21867085,0.00862272,0.05999675,-0.00808077,0.05998375,0,0.03908869,0.06990348,14.50630951,0.07160321,14.569561,1.00502193,14.74366188,2.56040311,-0,2.56201601,0.17971659,2.42102885,23.47583199,2.86600089,7.40583324,73.03599548,21.99419785,0.49300027,6.99396706,0.004,19.30500221,2.86271453,0.00150002,7.22339344,0.52510321,7.14386129,0.71664917,0.002052,7.24516678,0.6365636,7.45916128,1.52085865,0.16771197,211.90899658,95.59146118,0,0,0,6.45934057,-3000.7331543,-4.00097752,-4.00097752,7.69914484,7.69336271,0.48402441,2.86271453,2.86600304,0.00000064,0.69000059,1.22806609,23.80632019,0.02043329,0.0126336,0.01443201,0.00879253,265411,,,,265411,817,0,7.22850752
2023/08/12 00:40:00,5.75553131,6.47805595,61.67373657,99.6984024,60.01699829,-2.43859863,0.84000003,0.05756985,1.06501925,100.14002228,54.20700455,4.18927002,2.4794457,4.05237961,0.38999921,-0.00180645,2.60415936,0.00799999,0.00200645,1.73960066,0.00036903,141.11013794,1.93709457,1.73928034,48.62360382,3.99720049,3.93791556,0.05750109,1992.15686035,1986.7911377,1999.92797852,-0.75000012,-0.75000012,3.40619588,3.44020343,9.40615749,1959.25488281,0.31766194,0.15581775,0.64085197,1.37000024,1619.14685059,2.17149997,2.19200015,2.19200015,100.251297,100.21002197,0.11999922,1.31598353,1.602,4.4313674,14.88858986,10.75821877,-0.11688,39.96361542,39.97672653,24.08705521,42.37470245,24.98400116,4.05343533,6.26595688,-0.07799613,0.0380128,1.83038712,0,0.02077466,1.58840251,0.00000269,-0.01999997,0.00000054,0,0.04079999,9.21940041,0.00936006,0.00039949,-0.00208309,0.0080799,0,-0.00579659,-0.01270074,14.44966602,0.038,14.48953342,1.0031153,14.69707584,2.48999977,0.01,2.49999976,0.17582983,2.4238534,23.47898865,2.86009336,7.40583372,73.04322815,22.09500122,0.49396107,6.99383926,0.00478066,19.40500069,2.85245466,0.0015,7.22016144,0.52171612,7.14140797,0.71847868,0.00229352,7.24599791,0.63990015,7.45900202,1.51909983,0.18696767,211.91116333,95.59146118,0,0,0,6.43520021,-3000.7331543,-4.00097752,-4.00097752,7.72649574,7.72063446,0.49035013,2.85245466,2.86025167,0.03960256,0.69000018,1.22154951,23.58537102,0.02040795,0.01256774,0.01479979,0.00876799,265411,,,,265411,817,0,7.22831392
2023/08/12 00:45:00,6.16582012,6.48560333,56.92778397,99.69200897,60.01699829,26.18127441,0.84000003,0.05670576,1.07930887,100.14160919,54.20619965,4.18499756,2.46429324,3.67659163,0.38709682,-0.00100155,0.01716672,0.00780005,0.00299975,1.73839748,0.00044056,139.38148499,1.93280435,1.73871946,48.63000107,3.9983952,3.93898487,0.05726204,1991.54150391,1986.875,1999.88000488,-0.75000012,-0.75000012,3.40610242,3.43991613,9.40960884,1967.12231445,0.31868201,0.156086,0.64500064,1.42160249,1839.27685547,2.18290305,2.20140433,2.20154977,100.25,100.21000671,0.11999682,1.32449937,1.60104024,4.4306016,14.88130283,10.74359703,-0.14043337,39.9994545,39.98634338,24.09070015,42.416008,24.97032928,4.04564142,6.26704025,-0.06801613,-0.02998397,1.83038712,0,0.02773735,1.58193338,-0.02031923,-0.00000065,0,0,0.04400004,9.21553612,0.009368,0.00992,-0.00364797,0.008,0,0.0377552,0.04172279,14.47166443,0.04969536,14.51397133,1.00471771,14.88044071,2.51999974,-0.00999936,2.51999927,0.17666039,2.40121579,23.47483444,2.87192345,7.40116787,73.00722504,22.09500122,0.50100011,6.99303961,0.00468318,19.40500069,2.86156297,0.0015,7.22339725,0.52093685,7.250669,0.72184002,0.00185806,7.24903345,0.6366753,7.45483923,1.53691995,0.175248,211.91604614,95.5885849,0,0,0.00000045,6.45498037,-3000.7331543,-4.00097752,-4.00097752,7.72257376,7.71671247,0.48693922,2.86156297,2.87180567,0,0.69160008,1.22774386,23.50695419,0.020368,0.012568,0.01473574,0.00876774,265411,,,,265411,817,-0.00000001,7.23049784
